TL,Word-TL,IR,NL,Source
"F [0,30]((vel > 100) implies G [0,20](vel > 100))","Finally [0,30]((vel > 100) implies Always [0,20](vel > 100))","{'eventually_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'vel', 'right_node': 100.0, 'type': '>'}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'vel', 'right_node': 100.0, 'type': '>'}}, 'bound': [0.0, 20.0]}}}}, 'bound': [0.0, 30.0]}}","At some point within the first 30 seconds, if the vehicle speed goes over 100 km/h, then it should stay above 100 km/h for the next continuous 20 seconds.",https://link.springer.com/content/pdf/10.1007/978-3-319-63387-9_11.pdf
"(G− [1,1]u0 = 0) and (F− [1,1]x3 > 10)","(Always− [1,1]u0 = 0) and (F− [1,1]x3 > 10)",{'tree': 'not available'},"For the traffic system, the formula represents that the event or actuation u0 should never occur. Additionally, there's an expectation that the number of vehicles (or whatever x3 represents) will exceed 10 at the next time step. For instance, if x3 represents the number of vehicles on a road, then the formula captures the scenario where more than 10 vehicles are anticipated on that road in the immediate future.",https://arxiv.org/pdf/1904.03649.pdf
(F(G (alert12 == False  and alert13 == False ))) implies (G (F  not tsafeControl1)),(Finally (Always (alert12 == False and alert13 == False ))) implies (Always (Finally not tsafeControl1)),"{'implies': {'left_node': {'eventually': {'child_node': {'always': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'alert12', 'right_node': 'False', 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'alert13', 'right_node': 'False', 'type': '=='}}}}}}}}, 'right_node': {'always': {'child_node': {'eventually': {'child_node': {'not': {'child_node': 'tsafeControl1'}}}}}}}}","If there comes a point in time where aircraft 1 no longer receives collision alerts with respect to aircraft 2 and aircraft 3, then it is guaranteed that, at some future moments, the TSAFE controller will relinquish control of aircraft 1",
"G [0,3] (y > 3) and  not (y > 6)","Always [0,3] (y > 3) and not (y > 6)","{'and': {'left_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 3.0, 'type': '>'}}, 'bound': [0.0, 3.0]}}, 'right_node': {'not': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 6.0, 'type': '>'}}}}}}","Over a time interval from 0 to 3, the robot's position or state represented by y should always be greater than 3 but should never exceed 6.",
"G [0,10] not(obs) and F [0,10] (target1 or target2) and F [0,10] goal and G [0,10] ((-2 <= u) and (u <= 2))","Always [0,10] not(obs) and Finally [0,10] (target1 or target2) and Finally [0,10] goal and Always [0,10] ((-2 <= u) and (u <= 2))","{'and': {'left_node': {'and': {'left_node': {'and': {'left_node': {'always_bounded': {'child_node': {'not': {'child_node': 'obs'}}, 'bound': [0.0, 10.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'or': {'left_node': 'target1', 'right_node': 'target2'}}, 'bound': [0.0, 10.0]}}}}, 'right_node': {'eventually_bounded': {'child_node': 'goal', 'bound': [0.0, 10.0]}}}}, 'right_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 2.0, 'right_node': 'u', 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'u', 'right_node': 2.0, 'type': '<='}}}}, 'bound': [0.0, 10.0]}}}}","Within a 10-step timeframe, the robot must avoid obstacles, visit either of two target regions, and reach a goal region. Throughout this period, the robot's control input should remain bounded between -2 and 2.",https://arxiv.org/pdf/2006.05239.pdf
"G [0,20] not (Obs1 or Obs2) and F [0,20](Goal) and G [0,10]((-1 <= u) and (u <= 1))","Always [0,20] not (Obs1 or Obs2) and Finally [0,20](Goal) and Always [0,10]((-1 <= u) and (u <= 1))","{'and': {'left_node': {'and': {'left_node': {'always_bounded': {'child_node': {'not': {'child_node': {'or': {'left_node': 'Obs1', 'right_node': 'Obs2'}}}}, 'bound': [0.0, 20.0]}}, 'right_node': {'eventually_bounded': {'child_node': 'Goal', 'bound': [0.0, 20.0]}}}}, 'right_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 1.0, 'right_node': 'u', 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'u', 'right_node': 1.0, 'type': '<='}}}}, 'bound': [0.0, 10.0]}}}}","Over a 20-step timeframe, the robot must consistently avoid two specific obstacles, Obs1 and Obs2. It also has the objective to reach a designated goal region within this period. For the first 10 steps of this duration, the robot's control input should be bounded between -1 and 1.",https://arxiv.org/pdf/2006.05239.pdf
"F [1,40] (Goal1 and Goal2 ) and G [1,40]  not Unsafe","Finally [1,40] (Goal1 and Goal2 ) and Always [1,40] not Unsafe","{'and': {'left_node': {'eventually_bounded': {'child_node': {'and': {'left_node': 'proposition', 'right_node': 'proposition'}}, 'bound': [1.0, 40.0]}}, 'right_node': {'always_bounded': {'child_node': {'not': {'child_node': 'proposition'}}, 'bound': [1.0, 40.0]}}}}","The system is simulated using a discretized step size Δt = 0.05 for 40 steps. The vehicle needs to visit both goals 1 and 2, but the order is not specified. Throughout this period, the vehicle must consistently avoid any unsafe regions or states.",https://dl.acm.org/doi/pdf/10.1145/3358239
"F [1,5](I>=50)","Finally [1,5](I>=50)","{'eventually_bounded': {'child_node': {'predicate': {'left_node': 'I', 'right_node': 50.0, 'type': '>='}}, 'bound': [1.0, 5.0]}}","At some time between 1 and 5 time units, the number of infected individuals should be at least 50",https://arxiv.org/pdf/1309.0867.pdf
"G [1,5] Infected >= 50 and   G [0.25,5] (FutureInfected >= Infected)","Always [1,5] Infected >= 50 and  Always [0.25,5] (FutureInfected >= Infected)","{'and': {'left_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Infected', 'right_node': 50.0, 'type': '>='}}, 'bound': [1.0, 5.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'FutureInfected', 'right_node': 'Infected', 'type': '>='}}, 'bound': [0.25, 5.0]}}}}","Throughout the time interval from 1 to 5, the number of infected individuals should be at least 50. Furthermore, starting from a quarter time unit after the beginning of this interval and continuing up to time 5, the number of infected individuals should not decrease.",https://arxiv.org/pdf/1309.0867.pdf
"G [0,300] F [0,100] (SpeciesX >= Future_SpeciesY)","Always [0,300] Finally [0,100] (SpeciesX >= Future_SpeciesY)","{'always_bounded': {'child_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'SpeciesX', 'right_node': 'Future_SpeciesY', 'type': '>='}}, 'bound': [0.0, 100.0]}}, 'bound': [0.0, 300.0]}}","A pedator species X is hunted by a predator species Y in the simulation. Throughout the entire simulation duration from time 0 to 300, within any 100 time units, there should be at least one moment where the prey population exceeds or equals the future predator population.",
"F [1,40] (Goal1 and Goal2 ) and G [1,40]  not Unsafe","Finally [1,40] (Goal1 and Goal2 ) and Always [1,40] not Unsafe","{'and': {'left_node': {'eventually_bounded': {'child_node': {'and': {'left_node': 'proposition', 'right_node': 'proposition'}}, 'bound': [1.0, 40.0]}}, 'right_node': {'always_bounded': {'child_node': {'not': {'child_node': 'proposition'}}, 'bound': [1.0, 40.0]}}}}","Within a simulation span of 40 steps with a discretized step size of Δt = 0.05, the vehicle is expected to reach both Goal1 and Goal2, though the sequence is not predetermined. Simultaneously, the vehicle should consistently steer clear of any unsafe zones or conditions during this timeframe.",
"G [0,3] (y > 3) and  not (y > 6)","Always [0,3] (y > 3) and not (y > 6)","{'and': {'left_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 3.0, 'type': '>'}}, 'bound': [0.0, 3.0]}}, 'right_node': {'not': {'child_node': {'predicate': {'left_node': 'y', 'right_node': 6.0, 'type': '>'}}}}}}","Throughout the time span from 0 to 3, the position or state of the robot, represented by y, should consistently be above 3 but should never surpass 6.",
(F(G (alert12 == False  and alert13 == False ))) implies (G (F  not tsafeControl1)),(Finally (Always (alert12 == False and alert13 == False ))) implies (Always (Finally not tsafeControl1)),"{'implies': {'left_node': {'eventually': {'child_node': {'always': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'alert12', 'right_node': 'False', 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'alert13', 'right_node': 'False', 'type': '=='}}}}}}}}, 'right_node': {'always': {'child_node': {'eventually': {'child_node': {'not': {'child_node': 'tsafeControl1'}}}}}}}}","If there arises a situation where aircraft 1 ceases to receive collision alerts concerning aircraft 2 and 3, then it's guaranteed that in future instances, the TSAFE controller will cede control over aircraft 1.",
"G [0,10] not(obs) and F [0,10] (target1 or target2) and F [0,10] goal and G [0,10] ((-2 <= u) and (u <= 2))","Always [0,10] not(obs) and Finally [0,10] (target1 or target2) and Finally [0,10] goal and Always [0,10] ((-2 <= u) and (u <= 2))","{'and': {'left_node': {'and': {'left_node': {'always_bounded': {'child_node': {'not': {'child_node': {'or': {'left_node': 'Obs1', 'right_node': 'Obs2'}}}}, 'bound': [0.0, 20.0]}}, 'right_node': {'eventually_bounded': {'child_node': 'Goal', 'bound': [0.0, 20.0]}}}}, 'right_node': {'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 1.0, 'right_node': 'u', 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'u', 'right_node': 1.0, 'type': '<='}}}}, 'bound': [0.0, 10.0]}}}}","Within a 10-step time frame, the robot is mandated to steer clear of any obstacles, make a visit to one of the two target zones, and ultimately reach its goal. Concurrently, the control input of the robot should consistently remain within the range of -2 to 2.",
"G [0,300] F [0,100] (SpeciesX >= Future_SpeciesY)","Always [0,300] Finally [0,100] (SpeciesX >= Future_SpeciesY)","{'always_bounded': {'child_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'SpeciesX', 'right_node': 'Future_SpeciesY', 'type': '>='}}, 'bound': [0.0, 100.0]}}, 'bound': [0.0, 300.0]}}","In a simulation that runs from time 0 to 300, it's essential that within any given 100 time units, there exists at least one instance where the population of prey species X is greater than or equivalent to the anticipated population of predator species Y.",
"G [0,5](s > 2) and F [3,5](s == 5)","Always [0,5](s > 2) and Finally [3,5](s == 5)","{'and': {'left_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 's', 'right_node': 2.0, 'type': '>'}}, 'bound': [0.0, 5.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 's', 'right_node': 5.0, 'type': '=='}}, 'bound': [3.0, 5.0]}}}}","Throughout the time span from 0 to 5, the signal s should consistently be greater than 2. Additionally, between time 3 and 5, s should reach a value of 5.",
"F [0,10](p < 0) implies G [0,3](q > 1)","Finally [0,10](p < 0) implies Always [0,3](q > 1)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'p', 'right_node': 0.0, 'type': '<'}}, 'bound': [0.0, 10.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'q', 'right_node': 1.0, 'type': '>'}}, 'bound': [0.0, 3.0]}}}}","If at any point within the first 10 time units p goes below 0, then q should remain above 1 for the next continuous 3 time units.",
"F [1,5](v == 10) and G [1,5] not w","Finally [1,5](v == 10) and Always [1,5] not w","{'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'v', 'right_node': 10.0, 'type': '=='}}, 'bound': [1.0, 5.0]}}, 'right_node': {'always_bounded': {'child_node': {'not': {'child_node': 'w'}}, 'bound': [1.0, 5.0]}}}}","Somewhere between time 1 and 5, v should equal 10, and throughout this period, w should never be true.",
"G [0,7]((x >= 3) implies (y  <=  5))","Always [0,7]((x >= 3) implies (y <= 5))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'x', 'right_node': 3.0, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'y', 'right_node': 5.0, 'type': '<='}}}}, 'bound': [0.0, 7.0]}}","For the entire duration from time 0 to 7, if x is greater than or equal to 3, then y should be less than or equal to 5.",
"G [2,9]((b  <=  2) implies (c > 3))","Always [2,9]((b <= 2) implies (c > 3))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'b', 'right_node': 2.0, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'c', 'right_node': 3.0, 'type': '>'}}}}, 'bound': [2.0, 9.0]}}","From time 2 to 9, if b is less than or equal to 2, then c should be greater than 3.",
"G [0,10]((f == 1) and (g == 0))","Always [0,10]((f == 1) and (g == 0))","{'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'f', 'right_node': 1.0, 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'g', 'right_node': 0.0, 'type': '=='}}}}, 'bound': [0.0, 10.0]}}","Throughout the time span from 0 to 10, f should always be 1 and g should always be 0.",
"F [1,7](h > 4) and G [1,7]  not i","Finally [1,7](h > 4) and Always [1,7] not i","{'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'h', 'right_node': 4.0, 'type': '>'}}, 'bound': [1.0, 7.0]}}, 'right_node': {'always_bounded': {'child_node': {'not': {'child_node': 'proposition'}}, 'bound': [1.0, 7.0]}}}}","Between time 1 and 7, h should surpass 4 at some point, and i should never be true during this period.",
"G [2,5]((j  <=  3) implies (k > 2))","Always [2,5]((j <= 3) implies (k > 2))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'j', 'right_node': 3.0, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'k', 'right_node': 2.0, 'type': '>'}}}}, 'bound': [2.0, 5.0]}}","From time 2 to 5, if j is less than or equal to 3, then k should be greater than 2",
"G [1,6] ((n == 0) and (o == 1))","Always [1,6] ((n == 0) and (o == 1))","{'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'n', 'right_node': 0.0, 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'o', 'right_node': 1.0, 'type': '=='}}}}, 'bound': [1.0, 6.0]}}","Throughout the time span from 1 to 6, n should always be 0 and o should always be 1.",
"F [2,8](p > 5) and G [2,8]  not q","Finally [2,8](p > 5) and Always [2,8] not q","{'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'p', 'right_node': 5.0, 'type': '>'}}, 'bound': [2.0, 8.0]}}, 'right_node': {'always_bounded': {'child_node': {'not': {'child_node': 'proposition'}}, 'bound': [2.0, 8.0]}}}}","Between time 2 and 8, p should surpass 5 at some point, and q should never be true during this period.",
"G [3,10]((r  <=  4) implies (s > 3))","Always [3,10]((r <= 4) implies (s > 3))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'r', 'right_node': 4.0, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 's', 'right_node': 3.0, 'type': '>'}}}}, 'bound': [3.0, 10.0]}}","From time 3 to 10, if r is less than or equal to 4, then s should be greater than 3.",
"G [2,7]((v == 2) and (w == 0))","Always [2,7]((v == 2) and (w == 0))","{'always_bounded': {'child_node': {'and': {'left_node': {'predicate': {'left_node': 'v', 'right_node': 2.0, 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'w', 'right_node': 0.0, 'type': '=='}}}}, 'bound': [2.0, 7.0]}}","Throughout the time span from 2 to 7, v should always be 2 and w should always be 0.",
"F [3,9](x > 6) and G [3,9]  not y","Finally [3,9](x > 6) and Always [3,9] not y","{'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'x', 'right_node': 6.0, 'type': '>'}}, 'bound': [3.0, 9.0]}}, 'right_node': {'always_bounded': {'child_node': {'not': {'child_node': 'proposition'}}, 'bound': [3.0, 9.0]}}}}","Between time 3 and 9, x should surpass 6 at some point, and y should never be true during this period.",
"G [1,8]((z  <=  5) implies (a > 4))","Always [1,8]((z <= 5) implies (a > 4))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'z', 'right_node': 5.0, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'a', 'right_node': 4.0, 'type': '>'}}}}, 'bound': [1.0, 8.0]}}","From time 1 to 8, if z is less than or equal to 5, then a should be greater than 4.",
"G [0,24] F [0,6](Temperature > 35)","Always [0,24] Finally [0,6](Temperature > 35)","{'always_bounded': {'child_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Temperature', 'right_node': 35.0, 'type': '>'}}, 'bound': [0.0, 6.0]}}, 'bound': [0.0, 24.0]}}","A greenhouse monitoring system. Throughout a day (0 to 24 hours), there should be at least one 6-hour window where the temperature consistently exceeds 35°C, indicating potential harm to the plants.",
"F [0,5](Battery < 20) implies G [0,2](Charging == True)","Finally [0,5](Battery < 20) implies Always [0,2](Charging == True)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Battery', 'right_node': 20.0, 'type': '<'}}, 'bound': [0.0, 5.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'Charging', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 2.0]}}}}","A smart device's power management system. If at any point within 5 hours the battery level drops below 20%, the device should start charging within the next 2 hours.",
"G [0,60]((HeartRate > 100) implies F [0,10](Alert == True))","Always [0,60]((HeartRate > 100) implies Finally [0,10](Alert == True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'HeartRate', 'right_node': 100.0, 'type': '>'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Alert', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 10.0]}}}}, 'bound': [0.0, 60.0]}}","A health monitoring wearable. Over an hour (0 to 60 minutes), if the heart rate exceeds 100 bpm, the device should raise an alert within the next 10 minutes.",
"F [0,7](StockPrice > 100) and G [0,7](StockPrice < 150)","Finally [0,7](StockPrice > 100) and Always [0,7](StockPrice < 150)","{'and': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'StockPrice', 'right_node': 100.0, 'type': '>'}}, 'bound': [0.0, 7.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'StockPrice', 'right_node': 150.0, 'type': '<'}}, 'bound': [0.0, 7.0]}}}}","A stock market prediction tool. Within a week (0 to 7 days), the stock price is expected to surpass $100 but should never exceed $150.",
"G [0,12]((WaterLevel < 10) implies F [0,3](Refill == True))","Always [0,12]((WaterLevel < 10) implies Finally [0,3](Refill == True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'WaterLevel', 'right_node': 10.0, 'type': '<'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Refill', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 3.0]}}}}, 'bound': [0.0, 12.0]}}","An automatic pet water dispenser. Over a 12-hour period, if the water level drops below 10%, the dispenser should initiate a refill within the next 3 hours.",
"F [0,30](Traffic > 100) implies G [0,10](SignalRed == True)","Finally [0,30](Traffic > 1000) implies Always [0,10](SignalRed ==True)","{'implies': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Traffic', 'right_node': 1000.0, 'type': '>'}}, 'bound': [0.0, 30.0]}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'SignalRed', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 10.0]}}}}","A smart traffic management system. If at any point within 30 minutes the traffic exceeds 1000 cars, the traffic signal should turn red for the next 10 minutes to manage the flow.",
"G [0,48]((SoilMoisture < 30) implies F [0,6](Irrigation == True))","Always [0,48]((SoilMoisture < 30) implies Finally [0,6](Irrigation == True))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'SoilMoisture', 'right_node': 30.0, 'type': '<'}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'Irrigation', 'right_node': 'True', 'type': '=='}}, 'bound': [0.0, 6.0]}}}}, 'bound': [0.0, 48.0]}}","A smart farming system. Over two days (0 to 48 hours), if the soil moisture drops below 30%, the irrigation system should be turned on within the next 6 hours.",
